City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,pariaman,-0.619,100.12,89.65,64,45,4.79,ID,1707704917
168,broken hill,-31.95,141.4333,93.81,23,0,5.91,AU,1707704628
169,mejit,10.2753,170.8646,79.63,74,17,23.26,MH,1707704558
170,badger,64.8,-147.5333,21.45,81,0,0.0,US,1707704514
171,tamandare,-8.7597,-35.1047,79.74,83,100,8.28,BR,1707704917
172,longyearbyen,78.2186,15.6401,17.44,73,75,10.36,SJ,1707704506
173,kapa'a,22.0752,-159.319,78.78,70,75,6.91,US,1707704546
174,kyadabek,40.5656,45.8161,33.84,44,20,8.12,AZ,1707704917
175,leh,34.1667,77.5833,1.92,57,12,2.13,IN,1707704917
176,gaoual,11.75,-13.2,75.2,60,0,2.37,GN,1707704918
177,namibe,-15.1961,12.1522,78.93,77,94,6.11,AO,1707704533
178,jayapura,-2.5333,140.7,88.99,75,99,5.5,ID,1707704511
179,pangai,-19.8,-174.35,86.11,84,75,9.22,TO,1707704918
180,nola,40.922,14.5329,51.64,91,100,8.08,IT,1707704918
181,kununurra,-15.7667,128.7333,85.98,74,75,8.05,AU,1707704290
182,codrington,-38.2667,141.9667,78.28,47,0,9.48,AU,1707704494
183,desaguadero,-16.5656,-69.0417,51.96,74,100,9.78,PE,1707704918
184,swift current,50.2834,-107.8014,23.81,86,0,18.41,CA,1707704558
185,selfoss,63.9331,-20.9971,26.85,80,100,11.61,IS,1707704503
186,san antonio de pale,-1.4014,5.6325,82.78,80,27,3.27,GQ,1707704918
187,ghat,24.9647,10.1728,64.04,24,0,6.22,LY,1707704919
188,shihezi,44.3,86.0333,21.42,80,97,7.07,CN,1707704919
189,katsuura,35.1333,140.3,44.8,68,44,12.28,JP,1707704524
190,gaalkacyo,6.7697,47.4308,70.07,92,49,7.47,SO,1707704919
191,tura,25.5198,90.2201,66.0,40,2,1.92,IN,1707704540
192,san jose de las matas,19.3391,-70.9382,66.49,79,0,5.46,DO,1707704919
193,port saint john's,-31.6229,29.5448,67.71,89,21,11.97,ZA,1707704568
194,coracora,-15.0333,-73.7833,55.78,67,100,2.91,PE,1707704919
195,cedeira,43.6797,-8.0209,57.83,93,65,41.09,ES,1707704919
196,hirara,24.8,125.2833,66.47,48,0,11.5,JP,1707704919
197,hamilton,39.1834,-84.5333,41.99,73,0,9.22,US,1707704463
198,bardai,11.65,7.2333,71.22,17,32,8.43,NG,1707704920
199,isafjordur,66.0755,-23.124,35.01,77,100,33.26,IS,1707704503
